dataset,k,L,method,params,tvd,outputsize
sift-128-euclidean,15,100,approx_degree,"E2LSH(k=15, L=100, w=870)", 0.07292041191529038, 48.3
sift-128-euclidean,15,300,approx_degree,"E2LSH(k=15, L=300, w=870)", 0.05019067765160885, 54.4
sift-128-euclidean,15,200,approx_degree,"E2LSH(k=15, L=200, w=870)", 0.05648685305531816, 53.98
mnist-784-euclidean,13,100,rank,"E2LSH(k=13, L=100, w=3700)", 0.039002193540149964, 97.22
mnist-784-euclidean,15,200,rank,"E2LSH(k=15, L=200, w=3700)", 0.0388659811716425, 98.12
mnist-784-euclidean,14,100,rank,"E2LSH(k=14, L=100, w=3700)", 0.03748090425647982, 93.96
mnist-784-euclidean,12,100,rank,"E2LSH(k=12, L=100, w=3700)", 0.039356841132779416, 98.14
mnist-784-euclidean,15,300,rank,"E2LSH(k=15, L=300, w=3700)", 0.041387597717680705, 98.94
mnist-784-euclidean,15,100,rank,"E2LSH(k=15, L=100, w=3700)", 0.03972373694163567, 81.96
mnist-784-euclidean,13,100,opt,"E2LSH(k=13, L=100, w=3700)", 0.03771804683785845, 97.22
mnist-784-euclidean,15,200,opt,"E2LSH(k=15, L=200, w=3700)", 0.037362712465349994, 98.12
mnist-784-euclidean,14,100,opt,"E2LSH(k=14, L=100, w=3700)", 0.03783841148686688, 93.96
mnist-784-euclidean,12,100,opt,"E2LSH(k=12, L=100, w=3700)", 0.037774599890866234, 98.14
mnist-784-euclidean,15,300,opt,"E2LSH(k=15, L=300, w=3700)", 0.037808541568969206, 98.94
mnist-784-euclidean,15,100,opt,"E2LSH(k=15, L=100, w=3700)", 0.03781476154634725, 81.96
mnist-784-euclidean,13,100,uniform,"E2LSH(k=13, L=100, w=3700)", 0.5291624584202615, 97.22
mnist-784-euclidean,15,200,uniform,"E2LSH(k=15, L=200, w=3700)", 0.565730114150337, 98.12
mnist-784-euclidean,14,100,uniform,"E2LSH(k=14, L=100, w=3700)", 0.5396403127855902, 93.96
mnist-784-euclidean,12,100,uniform,"E2LSH(k=12, L=100, w=3700)", 0.5136031888428078, 98.14
mnist-784-euclidean,15,300,uniform,"E2LSH(k=15, L=300, w=3700)", 0.5584539462000712, 98.94
mnist-784-euclidean,15,100,uniform,"E2LSH(k=15, L=100, w=3700)", 0.5445107112625647, 81.96
mnist-784-euclidean,13,100,weighted_uniform,"E2LSH(k=13, L=100, w=3700)", 0.407142208607318, 97.22
mnist-784-euclidean,15,200,weighted_uniform,"E2LSH(k=15, L=200, w=3700)", 0.44926565513042305, 98.12
mnist-784-euclidean,14,100,weighted_uniform,"E2LSH(k=14, L=100, w=3700)", 0.4297271319419667, 93.96
mnist-784-euclidean,12,100,weighted_uniform,"E2LSH(k=12, L=100, w=3700)", 0.38421092071553853, 98.14
mnist-784-euclidean,15,300,weighted_uniform,"E2LSH(k=15, L=300, w=3700)", 0.44727926344063085, 98.94
mnist-784-euclidean,15,100,weighted_uniform,"E2LSH(k=15, L=100, w=3700)", 0.4463996362469142, 81.96
mnist-784-euclidean,13,100,approx_degree,"E2LSH(k=13, L=100, w=3700)", 0.05919366239346391, 97.22
mnist-784-euclidean,15,200,approx_degree,"E2LSH(k=15, L=200, w=3700)", 0.052015473293321124, 98.12
mnist-784-euclidean,14,100,approx_degree,"E2LSH(k=14, L=100, w=3700)", 0.06728358518471303, 93.96
mnist-784-euclidean,12,100,approx_degree,"E2LSH(k=12, L=100, w=3700)", 0.05165542551915357, 98.14
mnist-784-euclidean,15,300,approx_degree,"E2LSH(k=15, L=300, w=3700)", 0.05110616966219565, 98.94
mnist-784-euclidean,15,100,approx_degree,"E2LSH(k=15, L=100, w=3700)", 0.07251210621671669, 81.96
glove-100-angular,14,100,rank,"E2LSH(k=14, L=100, w=15.7)", 0.037552744445080485, 119.38
glove-100-angular,15,100,rank,"E2LSH(k=15, L=100, w=15.7)", 0.037342719973355115, 115.86
glove-100-angular,13,100,rank,"E2LSH(k=13, L=100, w=15.7)", 0.038519153783876055, 124.12
glove-100-angular,15,300,rank,"E2LSH(k=15, L=300, w=15.7)", 0.03740086010662465, 126.16
glove-100-angular,12,100,rank,"E2LSH(k=12, L=100, w=15.7)", 0.039818534366929795, 125.3
glove-100-angular,15,200,rank,"E2LSH(k=15, L=200, w=15.7)", 0.036875904769214644, 123.82
glove-100-angular,14,100,opt,"E2LSH(k=14, L=100, w=15.7)", 0.03713019462321317, 119.38
glove-100-angular,15,100,opt,"E2LSH(k=15, L=100, w=15.7)", 0.03536069734196596, 115.86
glove-100-angular,13,100,opt,"E2LSH(k=13, L=100, w=15.7)", 0.03778677015276676, 124.12
glove-100-angular,15,300,opt,"E2LSH(k=15, L=300, w=15.7)", 0.03754724706639816, 126.16
glove-100-angular,12,100,opt,"E2LSH(k=12, L=100, w=15.7)", 0.03805789933889449, 125.3
glove-100-angular,15,200,opt,"E2LSH(k=15, L=200, w=15.7)", 0.03711608778767119, 123.82
glove-100-angular,14,100,uniform,"E2LSH(k=14, L=100, w=15.7)", 0.41057313703394693, 119.38
glove-100-angular,15,100,uniform,"E2LSH(k=15, L=100, w=15.7)", 0.40924842112195675, 115.86
glove-100-angular,13,100,uniform,"E2LSH(k=13, L=100, w=15.7)", 0.3712109308341147, 124.12
glove-100-angular,15,300,uniform,"E2LSH(k=15, L=300, w=15.7)", 0.3312750926741421, 126.16
glove-100-angular,12,100,uniform,"E2LSH(k=12, L=100, w=15.7)", 0.35762094577381986, 125.3
glove-100-angular,15,200,uniform,"E2LSH(k=15, L=200, w=15.7)", 0.3774381862612575, 123.82
glove-100-angular,14,100,weighted_uniform,"E2LSH(k=14, L=100, w=15.7)", 0.20007507213091016, 119.38
glove-100-angular,15,100,weighted_uniform,"E2LSH(k=15, L=100, w=15.7)", 0.1985953440499797, 115.86
glove-100-angular,13,100,weighted_uniform,"E2LSH(k=13, L=100, w=15.7)", 0.1879171598697636, 124.12
glove-100-angular,15,300,weighted_uniform,"E2LSH(k=15, L=300, w=15.7)", 0.17116703991393883, 126.16
glove-100-angular,12,100,weighted_uniform,"E2LSH(k=12, L=100, w=15.7)", 0.18091212755273195, 125.3
glove-100-angular,15,200,weighted_uniform,"E2LSH(k=15, L=200, w=15.7)", 0.18309746408282393, 123.82
glove-100-angular,14,100,approx_degree,"E2LSH(k=14, L=100, w=15.7)", 0.07310786838254427, 119.38
glove-100-angular,15,100,approx_degree,"E2LSH(k=15, L=100, w=15.7)", 0.08162537366124109, 115.86
glove-100-angular,13,100,approx_degree,"E2LSH(k=13, L=100, w=15.7)", 0.05608637926853264, 124.12
glove-100-angular,15,300,approx_degree,"E2LSH(k=15, L=300, w=15.7)", 0.044456663222436035, 126.16
glove-100-angular,12,100,approx_degree,"E2LSH(k=12, L=100, w=15.7)", 0.05040158221122841, 125.3
glove-100-angular,15,200,approx_degree,"E2LSH(k=15, L=200, w=15.7)", 0.05358415987130034, 123.82
