dataset,k,L,method,params,tvd,outputsize
mnist-784-euclidean,8,1000,weighted_uniform,"E2LSH(k=8, L=1000, w=1500)", 0.8511840998484099, 339.5
mnist-784-euclidean,8,100,weighted_uniform,"E2LSH(k=8, L=100, w=1500)", 0.7515728014800673, 63.0
mnist-784-euclidean,14,1000,weighted_uniform,"E2LSH(k=14, L=1000, w=1500)", 0.3081697896680268, 14.82
mnist-784-euclidean,10,1000,weighted_uniform,"E2LSH(k=10, L=1000, w=1500)", 0.8529673901292018, 86.76
mnist-784-euclidean,8,200,weighted_uniform,"E2LSH(k=8, L=200, w=1500)", 0.7930162324864277, 104.06
mnist-784-euclidean,10,200,weighted_uniform,"E2LSH(k=10, L=200, w=1500)", 0.5159127650286792, 29.18
mnist-784-euclidean,8,500,uniform,"E2LSH(k=8, L=500, w=1500)", 0.8877085556040334, 215.28
mnist-784-euclidean,12,500,uniform,"E2LSH(k=12, L=500, w=1500)", 0.45064297343604104, 22.78
mnist-784-euclidean,12,200,uniform,"E2LSH(k=12, L=200, w=1500)", 0.30988118072180965, 11.78
mnist-784-euclidean,14,500,uniform,"E2LSH(k=14, L=500, w=1500)", 0.28698616163112495, 12.72
mnist-784-euclidean,12,1000,uniform,"E2LSH(k=12, L=1000, w=1500)", 0.5348174900150869, 34.44
mnist-784-euclidean,10,500,uniform,"E2LSH(k=10, L=500, w=1500)", 0.743347997374716, 49.48
mnist-784-euclidean,14,100,uniform,"E2LSH(k=14, L=100, w=1500)", 0.14375566666666667, 5.36
mnist-784-euclidean,10,100,uniform,"E2LSH(k=10, L=100, w=1500)", 0.4586855330790061, 19.36
mnist-784-euclidean,12,100,uniform,"E2LSH(k=12, L=100, w=1500)", 0.2863176007936508, 10.14
mnist-784-euclidean,14,200,uniform,"E2LSH(k=14, L=200, w=1500)", 0.2625597316821466, 8.08
mnist-784-euclidean,8,1000,uniform,"E2LSH(k=8, L=1000, w=1500)", 0.9023286349469981, 339.5
mnist-784-euclidean,8,100,uniform,"E2LSH(k=8, L=100, w=1500)", 0.8153107345563275, 63.0
mnist-784-euclidean,14,1000,uniform,"E2LSH(k=14, L=1000, w=1500)", 0.3127693614070377, 14.82
mnist-784-euclidean,10,1000,uniform,"E2LSH(k=10, L=1000, w=1500)", 0.8747525267752175, 86.76
mnist-784-euclidean,8,200,uniform,"E2LSH(k=8, L=200, w=1500)", 0.8488647689130758, 104.06
mnist-784-euclidean,10,200,uniform,"E2LSH(k=10, L=200, w=1500)", 0.5381911158917161, 29.18
glove-100-angular,11,100,opt,"E2LSH(k=11, L=100, w=5.5)", 0.010734187756687759, 7.4
glove-100-angular,9,100,opt,"E2LSH(k=9, L=100, w=5.5)", 0.012723810808584026, 55.78
glove-100-angular,12,200,opt,"E2LSH(k=12, L=200, w=5.5)", 0.008863771989497551, 5.82
glove-100-angular,11,500,opt,"E2LSH(k=11, L=500, w=5.5)", 0.012924236167617618, 34.96
glove-100-angular,9,500,opt,"E2LSH(k=9, L=500, w=5.5)", 0.01266455856707429, 246.24
glove-100-angular,9,200,opt,"E2LSH(k=9, L=200, w=5.5)", 0.01230351065986326, 101.82
glove-100-angular,10,500,opt,"E2LSH(k=10, L=500, w=5.5)", 0.012539743996905424, 96.5
glove-100-angular,12,100,opt,"E2LSH(k=12, L=100, w=5.5)", 0.006319036075036073, 3.06
